Timestamp,Emotion,Probabilities
2025-09-04 13:49:15.103022,Sad,"[0.17331987619400024, 0.02004867233335972, 0.15347766876220703, 0.20702430605888367, 0.2221727818250656, 0.0563163198530674, 0.16764041781425476]"
2025-09-04 13:49:15.143918,Sad,"[0.19708023965358734, 0.023718873038887978, 0.16264371573925018, 0.2044679969549179, 0.25577184557914734, 0.03087013214826584, 0.1254471242427826]"
2025-09-04 13:49:15.188152,Sad,"[0.20032936334609985, 0.023204097524285316, 0.1704207807779312, 0.1571684181690216, 0.29928749799728394, 0.01945844665169716, 0.13013136386871338]"
2025-09-04 13:49:15.229048,Sad,"[0.17780835926532745, 0.018169263377785683, 0.17448580265045166, 0.08558422327041626, 0.28381800651550293, 0.03871023282408714, 0.22142407298088074]"
2025-09-04 13:49:15.271452,Neutral,"[0.10801906883716583, 0.011394298635423183, 0.2047111690044403, 0.09125574678182602, 0.17739947140216827, 0.1451895534992218, 0.26203063130378723]"
2025-09-04 13:49:15.419139,Sad,"[0.21277697384357452, 0.022813357412815094, 0.147496297955513, 0.13423463702201843, 0.3098246455192566, 0.01613173820078373, 0.1567223072052002]"
2025-09-04 13:49:15.464340,Happy,"[0.13246946036815643, 0.014968978241086006, 0.14116273820400238, 0.2278168499469757, 0.15968792140483856, 0.11658015102148056, 0.20731402933597565]"
2025-09-04 13:49:15.505448,Sad,"[0.20394179224967957, 0.024742338806390762, 0.1622767448425293, 0.20421664416790009, 0.25743669271469116, 0.02909829653799534, 0.11828753352165222]"
2025-09-04 13:49:15.546072,Sad,"[0.1650206297636032, 0.017522169277071953, 0.17715825140476227, 0.10681423544883728, 0.24787932634353638, 0.0634140819311142, 0.22219130396842957]"
2025-09-04 13:49:15.584525,Sad,"[0.20482034981250763, 0.02493331767618656, 0.16459119319915771, 0.20085038244724274, 0.26290303468704224, 0.026899095624685287, 0.11500262469053268]"
2025-09-04 13:49:15.718817,Sad,"[0.2125188708305359, 0.022649655118584633, 0.1459045112133026, 0.13440096378326416, 0.30365800857543945, 0.017805922776460648, 0.16306206583976746]"
2025-09-04 13:49:15.760115,Happy,"[0.10799390077590942, 0.012211943045258522, 0.13955697417259216, 0.24837636947631836, 0.13267607986927032, 0.14376184344291687, 0.21542276442050934]"
2025-09-04 13:49:15.800360,Neutral,"[0.1573960781097412, 0.017180176451802254, 0.16451746225357056, 0.14083930850028992, 0.21737992763519287, 0.08433761447668076, 0.21834953129291534]"
2025-09-04 13:49:15.939038,Sad,"[0.21341241896152496, 0.02302294410765171, 0.14800260961055756, 0.13777638971805573, 0.3053310215473175, 0.017128579318523407, 0.15532612800598145]"
2025-09-04 13:49:15.980756,Happy,"[0.12611982226371765, 0.014268685132265091, 0.14260046184062958, 0.23424287140369415, 0.15486633777618408, 0.11882326006889343, 0.20907868444919586]"
2025-09-04 13:49:16.022531,Sad,"[0.20830847322940826, 0.023628657683730125, 0.1522195190191269, 0.1565423160791397, 0.2967294156551361, 0.017815669998526573, 0.14475585520267487]"
2025-09-04 13:49:16.176676,Sad,"[0.17144837975502014, 0.019769813865423203, 0.15231698751449585, 0.20694388449192047, 0.21886174380779266, 0.059371963143348694, 0.17128726840019226]"
2025-09-04 13:49:16.224201,Sad,"[0.2033851593732834, 0.022662827745079994, 0.13883788883686066, 0.16223590075969696, 0.3031858205795288, 0.014355525374412537, 0.15533684194087982]"
2025-09-04 13:49:16.375691,Sad,"[0.2070924937725067, 0.021734915673732758, 0.1451365202665329, 0.12814798951148987, 0.3107341527938843, 0.016397306695580482, 0.17075666785240173]"
2025-09-04 13:49:16.417685,Sad,"[0.1721794754266739, 0.017514070495963097, 0.14809982478618622, 0.12360262870788574, 0.31590983271598816, 0.01610400341451168, 0.20659007132053375]"
2025-09-04 13:49:16.458770,Happy,"[0.10468947887420654, 0.011864765547215939, 0.14265744388103485, 0.254242867231369, 0.13270331919193268, 0.1382729560136795, 0.2155691534280777]"
2025-09-04 13:49:16.500647,Sad,"[0.18273423612117767, 0.019339576363563538, 0.14757177233695984, 0.14753930270671844, 0.2569328844547272, 0.03892913833260536, 0.20695315301418304]"
2025-09-04 13:49:16.637415,Sad,"[0.2020583152770996, 0.02096007578074932, 0.14394505321979523, 0.12610609829425812, 0.3084096312522888, 0.01723674312233925, 0.1812840849161148]"
2025-09-04 13:49:16.678106,Sad,"[0.16812533140182495, 0.01726808398962021, 0.15063253045082092, 0.1294131875038147, 0.3112991154193878, 0.0172430332750082, 0.20601865649223328]"
2025-09-04 13:49:16.718168,Fear,"[0.16057339310646057, 0.01574127934873104, 0.2102096527814865, 0.16621960699558258, 0.13586625456809998, 0.1639292687177658, 0.14746060967445374]"
2025-09-04 13:49:16.847804,Sad,"[0.20988762378692627, 0.022335806861519814, 0.14711995422840118, 0.1315944790840149, 0.3123699426651001, 0.015743613243103027, 0.16094855964183807]"
2025-09-04 13:49:16.890548,Sad,"[0.15651801228523254, 0.015897095203399658, 0.17313210666179657, 0.08960983157157898, 0.2576654851436615, 0.05536728724837303, 0.25181013345718384]"
2025-09-04 13:49:16.932860,Sad,"[0.1922948658466339, 0.02241111360490322, 0.16889247298240662, 0.17225287854671478, 0.24589510262012482, 0.04685037583112717, 0.1514032483100891]"
2025-09-04 13:49:16.974713,Neutral,"[0.157057985663414, 0.015918433666229248, 0.15591183304786682, 0.09726116061210632, 0.21747751533985138, 0.09037362039089203, 0.2659994959831238]"
